sample_idx,dataset_id,source_fsm_id,contract_name,source_contract_name,category,difficulty,partition,result_present,compile_success,abi_checked,abi_success,abi_missing,abi_extra,abi_forbidden_present,test_success,vulnerability_count,critical_count,high_count,medium_count,low_count,slither_security_blocking_count,slither_security_review_count,slither_spec_conflict_count,slither_quality_warning_count,slither_acceptable_pattern_count,slither_command_success,slither_skipped_reason,max_gas_value,compile_failure_types,compile_repair_hints,test_failure_types,failed_tests,repair_hints,degradation_guard,stop_reason,cost_profile,critic_mode,feedback_mode,posthoc_policy,total_llm_calls,actor_calls,critic_calls,tool_planning_calls,prompt_chars,completion_chars,max_tokens_requested,failure_stage,failure_reason_short,final_status,instruction_summary,result_file,compile_command,test_command,execution_summary
0,0,8,MembershipAirdrop,MembershipContract,membership_airdrop,easy,main,True,True,True,True,,,,True,1,0,0,0,1,0,0,0,1,0,True,,944108,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_slither_findings,Write a complete Solidity smart contract named MembershipAirdrop using Solidity 0.8.20.,0.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 944108.
1,1,5632,SimpleCrowdsale,CrowdsaleContract,crowdsale,easy,diagnostic,True,True,True,True,,,,True,0,0,0,0,0,0,0,0,0,0,True,,460815,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_clean,Write a complete Solidity smart contract named SimpleCrowdsale using Solidity 0.8.20.,1.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 460815.
2,2,15,TeamVestingVault,TeamVestingContract,vesting,easy,main,True,True,True,True,,,,False,1,0,0,0,1,0,0,0,0,1,True,,,,,unexpected_balance_dependency,testInvestorWithdrawsAfterUnlock,Inspect whether the contract introduced an unfunded ETH transfer or balance check; tests may require accounting-only withdrawal.,,,gated,gated,compact,failures,0,0,0,0,0,0,0,test,testInvestorWithdrawsAfterUnlock: Insufficient balance,test_failed,Write a complete Solidity smart contract named TeamVestingVault using Solidity 0.8.20.,2.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [FAIL: Insufficient balance] testInvestorWithdrawsAfterUnlock() (gas: 67437) [PASS] testNonOwnerCannotAddInvestor() (gas: 14853) [PASS] te..."
3,3,49,TokenVoting,TokenVotingContract,voting,easy,diagnostic,True,True,True,True,,,,False,0,0,0,0,0,0,0,0,0,0,True,,,,,indexing_or_return_value_mismatch,testOwnerAddsCandidates,Inspect indexing and return-value semantics; tests may expect one-based ids or exact insertion order.,,,gated,gated,compact,failures,0,0,0,0,0,0,0,test,testOwnerAddsCandidates: assertion failed: Bob != Alice,test_failed,Write a complete Solidity smart contract named TokenVoting using Solidity 0.8.20.,3.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [PASS] testGrantedVoterCanVoteOnce() (gas: 89118) [FAIL: assertion failed: Bob != Alice] testOwnerAddsCandidates() (gas: 16857) [PASS] tes..."
4,4,53,PostingBoard,UncensorablePostingContract,posting,easy,diagnostic,True,True,True,True,,,,True,1,0,0,0,1,0,0,0,1,0,True,,1004524,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_slither_findings,Write a complete Solidity smart contract named PostingBoard using Solidity 0.8.20.,4.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 1004524.
5,5,2929,CollectibleSale,TokenNFTCollectibles,nft_sale,easy,main,True,True,True,True,,,,True,0,0,0,0,0,0,0,0,0,0,True,,758876,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_clean,Write a complete Solidity smart contract named CollectibleSale using Solidity 0.8.20.,5.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 758876.
6,6,48,FundPoolManager,FundManagementContract,fund_management,easy,diagnostic,True,True,True,True,,fallback(),,True,0,0,0,0,0,0,0,0,0,0,True,,899231,,,,,,reverted_to_initial_action_after_first_rewrite_regression,reverted_to_initial_action_after_first_rewrite_regression,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_extra_abi,Write a complete Solidity smart contract named FundPoolManager using Solidity 0.8.20.,6.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 899231.
7,7,2006,PresaleMint,NFTTokenContract,minting,easy,diagnostic,True,True,True,True,,,,True,1,0,0,1,0,0,0,1,0,0,True,,628110,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_slither_findings,Write a complete Solidity smart contract named PresaleMint using Solidity 0.8.20.,7.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (medium=1). Gas analysis: max observed value 628110.
8,8,4381,GrandGooseMansion,GrandGooseMansion,nft_minting,easy,main,True,False,,,,,,,,0,0,0,0,0,0,0,0,0,,,,constructor_argument_mismatch,"Match the candidate constructor to the required ABI and test deployment. If required ABI has no constructor and tests call new Contract(), remove constructor parameters or provide defaults; do not ask to change tests.",,,,,,gated,gated,compact,failures,0,0,0,0,0,0,0,compile,Error (6160): Wrong argument count for function call: 0 arguments given but expected 4.,compile_failed,Write a complete Solidity smart contract named GrandGooseMansion using Solidity 0.8.20.,8.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (6160): Wrong argument count for function call: 0 arguments given but expected 4. --> test/Generated.t.sol:12:13: | 12 | c = new GrandGooseMansion(); | ^^^^^^^^^^^^^^^^^^^^^^^ ABI: not checked. Tests: skipped (no Solidity...
9,9,3088,ClosedPresaleMint,NFTMintingContract,minting,easy,main,True,True,True,True,,,,False,1,0,0,1,0,0,0,1,0,0,True,,,,,sale_phase_transition,testPublicMint,Inspect sale state transitions and avoid stricter ordering than the required tests/spec allow.,,,gated,gated,compact,failures,0,0,0,0,0,0,0,test,testPublicMint: Public sale cannot be started yet,test_failed,Write a complete Solidity smart contract named ClosedPresaleMint using Solidity 0.8.20.,9.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [PASS] testCannotMintWhileClosed() (gas: 20093) [PASS] testPresaleMintOnce() (gas: 87638) [FAIL: Public sale cannot be started yet] testPu..."
