sample_idx,dataset_id,source_fsm_id,contract_name,source_contract_name,category,difficulty,partition,result_present,compile_success,abi_checked,abi_success,abi_missing,abi_extra,abi_forbidden_present,test_success,vulnerability_count,critical_count,high_count,medium_count,low_count,max_gas_value,degradation_guard,failure_stage,failure_reason_short,final_status,instruction_summary,result_file,compile_command,test_command,execution_summary
0,0,8,MembershipAirdrop,MembershipContract,membership_airdrop,easy,main,True,True,True,True,,,,True,0,0,0,0,0,875071,reverted_to_initial_action_after_better_compile_test_abi_security_or_gas_outcome,,,passed_clean,Write a complete Solidity smart contract named MembershipAirdrop using Solidity 0.8.20.,0.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 875071.
1,1,5632,SimpleCrowdsale,CrowdsaleContract,crowdsale,easy,diagnostic,True,True,True,True,,,,True,0,0,0,0,0,518037,reverted_to_mid_action_after_final_regression;reverted_to_initial_action_after_better_compile_test_abi_security_or_gas_outcome,,,passed_clean,Write a complete Solidity smart contract named SimpleCrowdsale using Solidity 0.8.20.,1.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 518037.
2,2,15,TeamVestingVault,TeamVestingContract,vesting,easy,main,True,True,True,True,,,,True,1,0,0,0,1,586841,reverted_to_initial_action_after_better_compile_test_abi_security_or_gas_outcome,,,passed_with_slither_findings,Write a complete Solidity smart contract named TeamVestingVault using Solidity 0.8.20.,2.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 586841.
3,3,49,TokenVoting,TokenVotingContract,voting,easy,diagnostic,True,True,True,True,,transferOwnership(address),,False,0,0,0,0,0,,,test,assertion failed: 0x28cac318a86c8a0a6a9156c2dba2c8c2363677ba0514ef616592d81557e679b6 != 0x416c696365000000000000000000000000000000000000000000000000000000,test_failed,Write a complete Solidity smart contract named TokenVoting using Solidity 0.8.20.,3.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [PASS] testGrantedVoterCanVoteOnce() (gas: 86056) [FAIL: assertion failed: 0x28cac318a86c8a0a6a9156c2dba2c8c2363677ba0514ef616592d81557e67..."
4,4,53,PostingBoard,UncensorablePostingContract,posting,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,"Error (9582): Member ""authorBalances"" not found or not visible after argument-dependent lookup in contract PostingBoard.",compile_failed,Write a complete Solidity smart contract named PostingBoard using Solidity 0.8.20.,4.json,forge build,,"Compilation: failed. Error: Compiler run failed: Error (9582): Member ""authorBalances"" not found or not visible after argument-dependent lookup in contract PostingBoard. --> test/Generated.t.sol:31:18: | 31 | assertEq(c.authorBalances(author), 1 ether); | ^^^^^^^^^^^^^^^^ ABI:..."
5,5,2929,CollectibleSale,TokenNFTCollectibles,nft_sale,easy,main,True,False,,,,,,,,0,0,0,0,,,compile,Error (2333): Identifier already declared.,compile_failed,Write a complete Solidity smart contract named CollectibleSale using Solidity 0.8.20.,5.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (2333): Identifier already declared. --> src/Generated.sol:27:5: | 27 | function maxSupply() public view returns (uint256) { | ^ (Relevant source part starts here and spans across multiple lines). Note: The previous declar...
6,6,48,FundPoolManager,FundManagementContract,fund_management,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,Error (2333): Identifier already declared.,compile_failed,Write a complete Solidity smart contract named FundPoolManager using Solidity 0.8.20.,6.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (2333): Identifier already declared. --> src/Generated.sol:21:5: | 21 | function pools(address poolAddress) external view returns (address) { | ^ (Relevant source part starts here and spans across multiple lines). Note: Th...
7,7,2006,PresaleMint,NFTTokenContract,minting,easy,diagnostic,True,True,True,True,,withdraw(),,True,0,0,0,0,0,800649,reverted_to_mid_action_after_final_regression,,,passed_clean,Write a complete Solidity smart contract named PresaleMint using Solidity 0.8.20.,7.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 800649.
8,8,4381,GrandGooseMansion,GrandGooseMansion,nft_minting,easy,main,True,True,True,True,,"owner(),withdraw()",,False,0,0,0,0,0,,,test,Sale is not in presale,test_failed,Write a complete Solidity smart contract named GrandGooseMansion using Solidity 0.8.20.,8.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [PASS] testNonWhitelistedPresaleMintReverts() (gas: 27144) [FAIL: Sale is not in presale] testPublicMint() (gas: 8121) [FAIL: assertion fa..."
9,9,3088,ClosedPresaleMint,NFTMintingContract,minting,easy,main,True,True,True,True,,"owner(),withdraw()",,False,0,0,0,0,0,,,test,Only deployer can initialize,test_failed,Write a complete Solidity smart contract named ClosedPresaleMint using Solidity 0.8.20.,9.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 1 test for test/Generated.t.sol:GeneratedTest [FAIL: Only deployer can initialize] setUp() (gas: 0) Suite result: FAILED. 0 passed; 1 failed; 0 skipped; finished in 406.72µs (0.00ns CPU..."
