sample_idx,dataset_id,source_fsm_id,contract_name,source_contract_name,category,difficulty,partition,result_present,compile_success,abi_checked,abi_success,abi_missing,abi_extra,abi_forbidden_present,test_success,vulnerability_count,critical_count,high_count,medium_count,low_count,max_gas_value,degradation_guard,failure_stage,failure_reason_short,final_status,instruction_summary,result_file,compile_command,test_command,execution_summary
0,0,8,MembershipAirdrop,MembershipContract,membership_airdrop,easy,main,True,True,True,True,,owner(),,True,0,0,0,0,0,698316,,,,passed_with_extra_abi,Write a complete Solidity smart contract named MembershipAirdrop using Solidity 0.8.20.,0.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 698316.
1,1,5632,SimpleCrowdsale,CrowdsaleContract,crowdsale,easy,diagnostic,True,True,True,True,,,,True,0,0,0,0,0,460675,,,,passed_clean,Write a complete Solidity smart contract named SimpleCrowdsale using Solidity 0.8.20.,1.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 460675.
2,2,15,TeamVestingVault,TeamVestingContract,vesting,easy,main,True,True,True,True,,owner(),,True,1,0,0,0,1,490659,,,,passed_with_extra_abi,Write a complete Solidity smart contract named TeamVestingVault using Solidity 0.8.20.,2.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 490659.
3,3,49,TokenVoting,TokenVotingContract,voting,easy,diagnostic,True,True,True,True,,"candidates(uint256),hasVoted(address),owner()",,True,0,0,0,0,0,1176703,,,,passed_with_extra_abi,Write a complete Solidity smart contract named TokenVoting using Solidity 0.8.20.,3.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 1176703.
4,4,53,PostingBoard,UncensorablePostingContract,posting,easy,diagnostic,True,True,True,True,,receive(),,True,1,0,0,0,1,963911,,,,passed_with_extra_abi,Write a complete Solidity smart contract named PostingBoard using Solidity 0.8.20.,4.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 963911.
5,5,2929,CollectibleSale,TokenNFTCollectibles,nft_sale,easy,main,True,True,True,True,,owner(),,True,1,0,0,0,1,635073,,,,passed_with_extra_abi,Write a complete Solidity smart contract named CollectibleSale using Solidity 0.8.20.,5.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 635073.
6,6,48,FundPoolManager,FundManagementContract,fund_management,easy,diagnostic,True,True,True,True,,owner(),,True,3,0,1,0,2,804437,,,,passed_with_extra_abi,Write a complete Solidity smart contract named FundPoolManager using Solidity 0.8.20.,6.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: passed. Static analysis: 3 finding(s) (high=1, low=2). Gas analysis: max observed value 804437."
7,7,2006,PresaleMint,NFTTokenContract,minting,easy,diagnostic,True,True,True,True,,owner(),,True,1,0,0,1,0,625502,,,,passed_with_extra_abi,Write a complete Solidity smart contract named PresaleMint using Solidity 0.8.20.,7.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (medium=1). Gas analysis: max observed value 625502.
8,8,4381,GrandGooseMansion,GrandGooseMansion,nft_minting,easy,main,True,False,,,,,,,,0,0,0,0,,,compile,Error (6160): Wrong argument count for function call: 0 arguments given but expected 3.,compile_failed,Write a complete Solidity smart contract named GrandGooseMansion using Solidity 0.8.20.,8.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (6160): Wrong argument count for function call: 0 arguments given but expected 3. --> test/Generated.t.sol:12:13: | 12 | c = new GrandGooseMansion(); | ^^^^^^^^^^^^^^^^^^^^^^^ ABI: not checked. Tests: skipped (no Solidity...
9,9,3088,ClosedPresaleMint,NFTMintingContract,minting,easy,main,True,True,True,True,,owner(),,True,1,0,0,1,0,816336,,,,passed_with_extra_abi,Write a complete Solidity smart contract named ClosedPresaleMint using Solidity 0.8.20.,9.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (medium=1). Gas analysis: max observed value 816336.
