sample_idx,dataset_id,source_fsm_id,contract_name,source_contract_name,category,difficulty,partition,result_present,compile_success,abi_checked,abi_success,abi_missing,abi_extra,abi_forbidden_present,test_success,vulnerability_count,critical_count,high_count,medium_count,low_count,max_gas_value,degradation_guard,failure_stage,failure_reason_short,final_status,instruction_summary,result_file,compile_command,test_command,execution_summary
0,0,8,MembershipAirdrop,MembershipContract,membership_airdrop,easy,main,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named MembershipAirdrop using Solidity 0.8.20.,0.json,"solc --base-path ""/tmp/indict_solidity__5u_w9u9"" --include-path ""/tmp/indict_solidity__5u_w9u9"" --include-path ""/tmp/indict_solidity__5u_w9u9/lib"" --allow-paths ""/tmp/indict_solidity__5u_w9u9"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
1,1,5632,SimpleCrowdsale,CrowdsaleContract,crowdsale,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named SimpleCrowdsale using Solidity 0.8.20.,1.json,"solc --base-path ""/tmp/indict_solidity_kdlq34lc"" --include-path ""/tmp/indict_solidity_kdlq34lc"" --include-path ""/tmp/indict_solidity_kdlq34lc/lib"" --allow-paths ""/tmp/indict_solidity_kdlq34lc"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
2,2,15,TeamVestingVault,TeamVestingContract,vesting,easy,main,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named TeamVestingVault using Solidity 0.8.20.,2.json,"solc --base-path ""/tmp/indict_solidity_vvgxdr2g"" --include-path ""/tmp/indict_solidity_vvgxdr2g"" --include-path ""/tmp/indict_solidity_vvgxdr2g/lib"" --allow-paths ""/tmp/indict_solidity_vvgxdr2g"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
3,3,49,TokenVoting,TokenVotingContract,voting,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named TokenVoting using Solidity 0.8.20.,3.json,"solc --base-path ""/tmp/indict_solidity_al5t8ihh"" --include-path ""/tmp/indict_solidity_al5t8ihh"" --include-path ""/tmp/indict_solidity_al5t8ihh/lib"" --allow-paths ""/tmp/indict_solidity_al5t8ihh"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
4,4,53,PostingBoard,UncensorablePostingContract,posting,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named PostingBoard using Solidity 0.8.20.,4.json,"solc --base-path ""/tmp/indict_solidity_pfsa6zdw"" --include-path ""/tmp/indict_solidity_pfsa6zdw"" --include-path ""/tmp/indict_solidity_pfsa6zdw/lib"" --allow-paths ""/tmp/indict_solidity_pfsa6zdw"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
5,5,2929,CollectibleSale,TokenNFTCollectibles,nft_sale,easy,main,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named CollectibleSale using Solidity 0.8.20.,5.json,"solc --base-path ""/tmp/indict_solidity_h0ztb_p7"" --include-path ""/tmp/indict_solidity_h0ztb_p7"" --include-path ""/tmp/indict_solidity_h0ztb_p7/lib"" --allow-paths ""/tmp/indict_solidity_h0ztb_p7"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
6,6,48,FundPoolManager,FundManagementContract,fund_management,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named FundPoolManager using Solidity 0.8.20.,6.json,"solc --base-path ""/tmp/indict_solidity_zorbihlt"" --include-path ""/tmp/indict_solidity_zorbihlt"" --include-path ""/tmp/indict_solidity_zorbihlt/lib"" --allow-paths ""/tmp/indict_solidity_zorbihlt"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
7,7,2006,PresaleMint,NFTTokenContract,minting,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named PresaleMint using Solidity 0.8.20.,7.json,"solc --base-path ""/tmp/indict_solidity_8azu9vm7"" --include-path ""/tmp/indict_solidity_8azu9vm7"" --include-path ""/tmp/indict_solidity_8azu9vm7/lib"" --allow-paths ""/tmp/indict_solidity_8azu9vm7"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
8,8,4381,GrandGooseMansion,GrandGooseMansion,nft_minting,easy,main,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named GrandGooseMansion using Solidity 0.8.20.,8.json,"solc --base-path ""/tmp/indict_solidity_94tcmp7t"" --include-path ""/tmp/indict_solidity_94tcmp7t"" --include-path ""/tmp/indict_solidity_94tcmp7t/lib"" --allow-paths ""/tmp/indict_solidity_94tcmp7t"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
9,9,3088,ClosedPresaleMint,NFTMintingContract,minting,easy,main,True,False,,,,,,,,0,0,0,0,,,compile,/bin/sh: 1: solc: not found,compile_failed,Write a complete Solidity smart contract named ClosedPresaleMint using Solidity 0.8.20.,9.json,"solc --base-path ""/tmp/indict_solidity_urmabls7"" --include-path ""/tmp/indict_solidity_urmabls7"" --include-path ""/tmp/indict_solidity_urmabls7/lib"" --allow-paths ""/tmp/indict_solidity_urmabls7"" --evm-version shanghai --abi ""src/Generated.sol""",,Compilation: failed. /bin/sh: 1: solc: not found ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped. Gas analysis: unavailable.
