sample_idx,dataset_id,source_fsm_id,contract_name,source_contract_name,category,difficulty,partition,result_present,compile_success,abi_checked,abi_success,abi_missing,abi_extra,abi_forbidden_present,test_success,vulnerability_count,critical_count,high_count,medium_count,low_count,max_gas_value,degradation_guard,failure_stage,failure_reason_short,final_status,instruction_summary,result_file,compile_command,test_command,execution_summary
0,0,8,MembershipAirdrop,MembershipContract,membership_airdrop,easy,main,True,True,True,True,,,,True,0,0,0,0,0,645869,,,,passed_clean,Write a complete Solidity smart contract named MembershipAirdrop using Solidity 0.8.20.,0.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 645869.
1,1,5632,SimpleCrowdsale,CrowdsaleContract,crowdsale,easy,diagnostic,True,True,True,True,,,,True,0,0,0,0,0,459114,reverted_to_initial_action_after_better_compile_test_abi_security_or_gas_outcome,,,passed_clean,Write a complete Solidity smart contract named SimpleCrowdsale using Solidity 0.8.20.,1.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 459114.
2,2,15,TeamVestingVault,TeamVestingContract,vesting,easy,main,True,True,True,True,,,,True,1,0,0,0,1,399843,,,,passed_with_slither_findings,Write a complete Solidity smart contract named TeamVestingVault using Solidity 0.8.20.,2.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 399843.
3,3,49,TokenVoting,TokenVotingContract,voting,easy,diagnostic,True,True,True,True,,,,True,0,0,0,0,0,1059427,reverted_to_initial_action_after_better_compile_test_abi_security_or_gas_outcome,,,passed_clean,Write a complete Solidity smart contract named TokenVoting using Solidity 0.8.20.,3.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 1059427.
4,4,53,PostingBoard,UncensorablePostingContract,posting,easy,diagnostic,True,True,True,True,,,,True,0,0,0,0,0,951536,,,,passed_clean,Write a complete Solidity smart contract named PostingBoard using Solidity 0.8.20.,4.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 951536.
5,5,2929,CollectibleSale,TokenNFTCollectibles,nft_sale,easy,main,True,True,True,True,,,,True,1,0,0,0,1,737905,,,,passed_with_slither_findings,Write a complete Solidity smart contract named CollectibleSale using Solidity 0.8.20.,5.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 737905.
6,6,48,FundPoolManager,FundManagementContract,fund_management,easy,diagnostic,True,True,True,True,,,,True,1,0,1,0,0,605367,,,,passed_with_slither_findings,Write a complete Solidity smart contract named FundPoolManager using Solidity 0.8.20.,6.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (high=1). Gas analysis: max observed value 605367.
7,7,2006,PresaleMint,NFTTokenContract,minting,easy,diagnostic,True,True,True,True,,,,True,0,0,0,0,0,596405,reverted_to_initial_action_after_better_compile_test_abi_security_or_gas_outcome,,,passed_clean,Write a complete Solidity smart contract named PresaleMint using Solidity 0.8.20.,7.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 596405.
8,8,4381,GrandGooseMansion,GrandGooseMansion,nft_minting,easy,main,True,True,True,True,,,,True,2,0,0,1,1,851963,reverted_to_initial_action_after_better_compile_test_abi_security_or_gas_outcome,,,passed_with_slither_findings,Write a complete Solidity smart contract named GrandGooseMansion using Solidity 0.8.20.,8.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: passed. Static analysis: 2 finding(s) (low=1, medium=1). Gas analysis: max observed value 851963."
9,9,3088,ClosedPresaleMint,NFTMintingContract,minting,easy,main,True,True,True,True,,,,True,1,0,0,1,0,796931,reverted_to_initial_action_after_better_compile_test_abi_security_or_gas_outcome,,,passed_with_slither_findings,Write a complete Solidity smart contract named ClosedPresaleMint using Solidity 0.8.20.,9.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (medium=1). Gas analysis: max observed value 796931.
