sample_idx,dataset_id,contract_name,partition,compile_transition,abi_transition,test_transition,slither_transition,gas_transition,llm_calls_transition,status_transition,final_status,final_failure
0,0,MembershipAirdrop,main,T -> T -> T,T -> T -> T,T -> T -> T,1 -> 1 -> 1,894686 -> 894686 -> 894686,1 -> 0 -> 0,passed_with_slither_findings -> passed_with_slither_findings -> passed_with_slither_findings,passed_with_slither_findings,
1,1,SimpleCrowdsale,diagnostic,T -> T -> T,T -> T -> T,T -> T -> T,0 -> 0 -> 0,460149 -> 460149 -> 460149,4 -> 0 -> 0,passed_clean -> passed_clean -> passed_clean,passed_clean,
2,2,TeamVestingVault,main,T -> T -> T,T -> T -> T,F -> F -> F,1 -> 1 -> 1,- -> - -> -,7 -> 6 -> 6,test_failed -> test_failed -> test_failed,test_failed,testInvestorWithdrawsAfterUnlock: EvmError: Revert
3,3,TokenVoting,diagnostic,T -> T -> T,T -> T -> T,F -> F -> F,0 -> 0 -> 0,- -> - -> -,7 -> 6 -> 6,test_failed -> test_failed -> test_failed,test_failed,testOwnerAddsCandidates: assertion failed: Bob != Alice
4,4,PostingBoard,diagnostic,T -> T -> T,T -> T -> T,T -> T -> T,1 -> 1 -> 1,927798 -> 927798 -> 927798,1 -> 0 -> 0,passed_with_slither_findings -> passed_with_slither_findings -> passed_with_slither_findings,passed_with_slither_findings,
5,5,CollectibleSale,main,T -> T -> T,T -> T -> T,T -> T -> T,1 -> 1 -> 1,722390 -> 722390 -> 722390,1 -> 0 -> 0,passed_with_slither_findings -> passed_with_slither_findings -> passed_with_slither_findings,passed_with_slither_findings,
6,6,FundPoolManager,diagnostic,T -> T -> T,T -> T -> T,T -> T -> T,2 -> 2 -> 2,980597 -> 980597 -> 980597,1 -> 0 -> 0,passed_with_slither_findings -> passed_with_slither_findings -> passed_with_slither_findings,passed_with_slither_findings,
7,7,PresaleMint,diagnostic,T -> T -> T,T -> T -> T,F -> F -> F,1 -> 1 -> 1,- -> - -> -,7 -> 6 -> 6,test_failed -> test_failed -> test_failed,test_failed,testPublicBuyOnlyWhenSaleLive: assertion failed: 0 != 1
8,8,GrandGooseMansion,main,T -> T -> T,F -> T -> T,F -> T -> T,4 -> 2 -> 2,- -> 1066667 -> 1066667,8 -> 4 -> 0,abi_failed -> passed_with_slither_findings -> passed_with_slither_findings,passed_with_slither_findings,
9,9,ClosedPresaleMint,main,T -> T -> T,T -> T -> T,F -> T -> T,1 -> 1 -> 1,- -> 976164 -> 976164,7 -> 3 -> 0,test_failed -> passed_with_slither_findings -> passed_with_slither_findings,passed_with_slither_findings,
