sample_idx,dataset_id,source_fsm_id,contract_name,source_contract_name,category,difficulty,partition,result_present,compile_success,abi_checked,abi_success,abi_missing,abi_extra,abi_forbidden_present,test_success,vulnerability_count,critical_count,high_count,medium_count,low_count,slither_security_blocking_count,slither_security_review_count,slither_spec_conflict_count,slither_quality_warning_count,slither_acceptable_pattern_count,slither_command_success,slither_skipped_reason,max_gas_value,compile_failure_types,compile_repair_hints,test_failure_types,failed_tests,repair_hints,degradation_guard,stop_reason,cost_profile,critic_mode,feedback_mode,posthoc_policy,total_llm_calls,actor_calls,critic_calls,tool_planning_calls,prompt_chars,completion_chars,max_tokens_requested,failure_stage,failure_reason_short,final_status,instruction_summary,result_file,compile_command,test_command,execution_summary
0,0,8,MembershipAirdrop,MembershipContract,membership_airdrop,easy,main,True,True,True,True,,,,True,1,0,0,0,1,0,0,0,1,0,True,,894686,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_slither_findings,Write a complete Solidity smart contract named MembershipAirdrop using Solidity 0.8.20.,0.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 894686.
1,1,5632,SimpleCrowdsale,CrowdsaleContract,crowdsale,easy,diagnostic,True,True,True,True,,,,True,0,0,0,0,0,0,0,0,0,0,True,,460149,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_clean,Write a complete Solidity smart contract named SimpleCrowdsale using Solidity 0.8.20.,1.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 460149.
2,2,15,TeamVestingVault,TeamVestingContract,vesting,easy,main,True,True,True,True,,,,False,1,0,0,0,1,0,0,0,0,1,True,,,,,unexpected_revert,testInvestorWithdrawsAfterUnlock,Inspect the failed test's target function and preserve the required ABI.,,,gated,gated,compact,failures,6,2,4,0,106169,15941,5120,test,testInvestorWithdrawsAfterUnlock: EvmError: Revert,test_failed,Write a complete Solidity smart contract named TeamVestingVault using Solidity 0.8.20.,2.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [FAIL: EvmError: Revert] testInvestorWithdrawsAfterUnlock() (gas: 96883) [PASS] testNonOwnerCannotAddInvestor() (gas: 14853) [PASS] testOw..."
3,3,49,TokenVoting,TokenVotingContract,voting,easy,diagnostic,True,True,True,True,,,,False,0,0,0,0,0,0,0,0,0,0,True,,,,,indexing_or_return_value_mismatch,testOwnerAddsCandidates,Inspect indexing and return-value semantics; tests may expect one-based ids or exact insertion order.,,,gated,gated,compact,failures,6,2,4,0,111310,18017,5120,test,testOwnerAddsCandidates: assertion failed: Bob != Alice,test_failed,Write a complete Solidity smart contract named TokenVoting using Solidity 0.8.20.,3.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [PASS] testGrantedVoterCanVoteOnce() (gas: 92235) [FAIL: assertion failed: Bob != Alice] testOwnerAddsCandidates() (gas: 16862) [PASS] tes..."
4,4,53,PostingBoard,UncensorablePostingContract,posting,easy,diagnostic,True,True,True,True,,,,True,1,0,0,0,1,0,0,0,1,0,True,,927798,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_slither_findings,Write a complete Solidity smart contract named PostingBoard using Solidity 0.8.20.,4.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 927798.
5,5,2929,CollectibleSale,TokenNFTCollectibles,nft_sale,easy,main,True,True,True,True,,,,True,1,0,0,0,1,0,0,0,1,0,True,,722390,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_slither_findings,Write a complete Solidity smart contract named CollectibleSale using Solidity 0.8.20.,5.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 722390.
6,6,48,FundPoolManager,FundManagementContract,fund_management,easy,diagnostic,True,True,True,True,,,,True,2,0,0,0,2,0,0,0,2,0,True,,980597,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_slither_findings,Write a complete Solidity smart contract named FundPoolManager using Solidity 0.8.20.,6.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 2 finding(s) (low=2). Gas analysis: max observed value 980597.
7,7,2006,PresaleMint,NFTTokenContract,minting,easy,diagnostic,True,True,True,True,,,,False,1,0,0,1,0,0,0,1,0,0,True,,,,,assertion_mismatch,"testPublicBuyOnlyWhenSaleLive,testWhitelistedUserCanPresaleBuy",Inspect sale state transitions and avoid stricter ordering than the required tests/spec allow.,,,gated,gated,compact,failures,6,2,4,0,103254,15761,5120,test,testPublicBuyOnlyWhenSaleLive: assertion failed: 0 != 1,test_failed,Write a complete Solidity smart contract named PresaleMint using Solidity 0.8.20.,7.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [FAIL: assertion failed: 0 != 1] testPublicBuyOnlyWhenSaleLive() (gas: 31275) [PASS] testUnwhitelistedUserCannotPresaleBuy() (gas: 22382)..."
8,8,4381,GrandGooseMansion,GrandGooseMansion,nft_minting,easy,main,True,True,True,True,,,,True,2,0,0,1,1,0,0,1,1,0,True,,1066667,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_slither_findings,Write a complete Solidity smart contract named GrandGooseMansion using Solidity 0.8.20.,8.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: passed. Static analysis: 2 finding(s) (low=1, medium=1). Gas analysis: max observed value 1066667."
9,9,3088,ClosedPresaleMint,NFTMintingContract,minting,easy,main,True,True,True,True,,,,True,1,0,0,1,0,0,0,1,0,0,True,,976164,,,,,,,initial_action_passed_clean,gated,gated,compact,failures,0,0,0,0,0,0,0,,,passed_with_slither_findings,Write a complete Solidity smart contract named ClosedPresaleMint using Solidity 0.8.20.,9.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (medium=1). Gas analysis: max observed value 976164.
