sample_idx,dataset_id,source_fsm_id,contract_name,source_contract_name,category,difficulty,partition,result_present,compile_success,abi_checked,abi_success,abi_missing,abi_extra,abi_forbidden_present,test_success,vulnerability_count,critical_count,high_count,medium_count,low_count,max_gas_value,degradation_guard,failure_stage,failure_reason_short,final_status,instruction_summary,result_file,compile_command,test_command,execution_summary
0,0,8,MembershipAirdrop,MembershipContract,membership_airdrop,easy,main,True,True,True,True,,,,True,0,0,0,0,0,777255,,,,passed_clean,Write a complete Solidity smart contract named MembershipAirdrop using Solidity 0.8.20.,0.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 777255.
1,1,5632,SimpleCrowdsale,CrowdsaleContract,crowdsale,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,Error (2333): Identifier already declared.,compile_failed,Write a complete Solidity smart contract named SimpleCrowdsale using Solidity 0.8.20.,1.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (2333): Identifier already declared. --> src/Generated.sol:19:5: | 19 | function wallet() public view returns (address payable) { | ^ (Relevant source part starts here and spans across multiple lines). Note: The previous d...
2,2,15,TeamVestingVault,TeamVestingContract,vesting,easy,main,True,True,True,True,,,,True,1,0,0,0,1,580569,,,,passed_with_slither_findings,Write a complete Solidity smart contract named TeamVestingVault using Solidity 0.8.20.,2.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 580569.
3,3,49,TokenVoting,TokenVotingContract,voting,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,Error (2333): Identifier already declared.,compile_failed,Write a complete Solidity smart contract named TokenVoting using Solidity 0.8.20.,3.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (2333): Identifier already declared. --> src/Generated.sol:26:5: | 26 | function candidateCount() public view returns (uint256) { | ^ (Relevant source part starts here and spans across multiple lines). Note: The previous d...
4,4,53,PostingBoard,UncensorablePostingContract,posting,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,Error (2333): Identifier already declared.,compile_failed,Write a complete Solidity smart contract named PostingBoard using Solidity 0.8.20.,4.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (2333): Identifier already declared. --> src/Generated.sol:42:5: | 42 | function authorBalances(address author) external view returns (uint256) { | ^ (Relevant source part starts here and spans across multiple lines). Note...
5,5,2929,CollectibleSale,TokenNFTCollectibles,nft_sale,easy,main,True,True,True,True,,owner(),,True,0,0,0,0,0,775161,,,,passed_with_extra_abi,Write a complete Solidity smart contract named CollectibleSale using Solidity 0.8.20.,5.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 775161.
6,6,48,FundPoolManager,FundManagementContract,fund_management,easy,diagnostic,True,False,,,,,,,,0,0,0,0,,,compile,"Error (9582): Member ""pools"" not found or not visible after argument-dependent lookup in contract FundPoolManager.",compile_failed,Write a complete Solidity smart contract named FundPoolManager using Solidity 0.8.20.,6.json,forge build,,"Compilation: failed. Error: Compiler run failed: Warning (9207): 'transfer' is deprecated and scheduled for removal. Use 'call{value: <amount>}("""")' instead. --> test/Generated.t.sol:15:9: | 15 | payable(address(c)).transfer(2 ether); | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ Error (9582..."
7,7,2006,PresaleMint,NFTTokenContract,minting,easy,diagnostic,True,True,True,True,,,,True,1,0,0,1,0,651311,,,,passed_with_slither_findings,Write a complete Solidity smart contract named PresaleMint using Solidity 0.8.20.,7.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (medium=1). Gas analysis: max observed value 651311.
8,8,4381,GrandGooseMansion,GrandGooseMansion,nft_minting,easy,main,True,False,,,,,,,,0,0,0,0,,,compile,Error (6160): Wrong argument count for function call: 1 arguments given but expected 0.,compile_failed,Write a complete Solidity smart contract named GrandGooseMansion using Solidity 0.8.20.,8.json,forge build,,"Compilation: failed. Error: Compiler run failed: Error (6160): Wrong argument count for function call: 1 arguments given but expected 0. --> test/Generated.t.sol:23:18: | 23 | assertEq(c.preSaleWalletMinted(user), 2); | ^^^^^^^^^^^^^^^^^^^^^^^^^^^ ABI: not checked. Tests: skip..."
9,9,3088,ClosedPresaleMint,NFTMintingContract,minting,easy,main,True,True,True,True,,,,False,1,0,0,1,0,,,test,Public sale cannot start yet,test_failed,Write a complete Solidity smart contract named ClosedPresaleMint using Solidity 0.8.20.,9.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [PASS] testCannotMintWhileClosed() (gas: 20093) [PASS] testPresaleMintOnce() (gas: 104568) [FAIL: Public sale cannot start yet] testPublic..."
