sample_idx,dataset_id,source_fsm_id,contract_name,source_contract_name,category,difficulty,partition,result_present,compile_success,abi_checked,abi_success,abi_missing,abi_forbidden_present,test_success,vulnerability_count,critical_count,high_count,medium_count,low_count,max_gas_value,degradation_guard,failure_stage,failure_reason_short,instruction_summary,result_file,compile_command,test_command,execution_summary
0,0,8,MembershipAirdrop,MembershipContract,membership_airdrop,easy,main,True,True,True,True,,,True,1,0,0,0,1,837151,,,,Write a complete Solidity smart contract named MembershipAirdrop using Solidity 0.8.20.,0.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (low=1). Gas analysis: max observed value 837151.
1,1,5632,SimpleCrowdsale,CrowdsaleContract,crowdsale,easy,diagnostic,True,False,,,,,,,0,0,0,0,,,compile,Error (2333): Identifier already declared.,Write a complete Solidity smart contract named SimpleCrowdsale using Solidity 0.8.20.,1.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (2333): Identifier already declared. --> src/Generated.sol:36:5: | 36 | function tokensPurchased(address _beneficiary) public view returns (uint256) { | ^ (Relevant source part starts here and spans across multiple lines)....
2,2,15,TeamVestingVault,TeamVestingContract,vesting,easy,main,True,True,True,True,,,True,2,0,0,0,2,687716,reverted_to_mid_action_after_final_compile_failure,,,Write a complete Solidity smart contract named TeamVestingVault using Solidity 0.8.20.,2.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 2 finding(s) (low=2). Gas analysis: max observed value 687716.
3,3,49,TokenVoting,TokenVotingContract,voting,easy,diagnostic,True,True,True,True,,,False,0,0,0,0,0,,,test,assertion failed: 0 != 1,Write a complete Solidity smart contract named TokenVoting using Solidity 0.8.20.,3.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv","Compilation: success. ABI: passed. Tests: failed. No files changed, compilation skipped Ran 3 tests for test/Generated.t.sol:GeneratedTest [FAIL: assertion failed: 0 != 1] testGrantedVoterCanVoteOnce() (gas: 88813) [FAIL: assertion failed: 0x28cac318a86c8a0a6a9156c2dba2c8c2363..."
4,4,53,PostingBoard,UncensorablePostingContract,posting,easy,diagnostic,True,False,,,,,,,0,0,0,0,,,compile,Error (2333): Identifier already declared.,Write a complete Solidity smart contract named PostingBoard using Solidity 0.8.20.,4.json,forge build,,Compilation: failed. Error: Compiler run failed: Error (2333): Identifier already declared. --> src/Generated.sol:56:5: | 56 | function authorBalances(address author) public view returns (uint256) { | ^ (Relevant source part starts here and spans across multiple lines). Note:...
5,5,2929,CollectibleSale,TokenNFTCollectibles,nft_sale,easy,main,True,True,True,True,,,True,0,0,0,0,0,905116,,,,Write a complete Solidity smart contract named CollectibleSale using Solidity 0.8.20.,5.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: no Slither findings. Gas analysis: max observed value 905116.
6,6,48,FundPoolManager,FundManagementContract,fund_management,easy,diagnostic,True,True,True,True,,,True,4,0,0,0,4,1130113,,,,Write a complete Solidity smart contract named FundPoolManager using Solidity 0.8.20.,6.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 4 finding(s) (low=4). Gas analysis: max observed value 1130113.
7,7,2006,PresaleMint,NFTTokenContract,minting,easy,diagnostic,True,True,True,True,,,True,1,0,0,1,0,661414,,,,Write a complete Solidity smart contract named PresaleMint using Solidity 0.8.20.,7.json,forge build,"forge test --match-path ""test/Generated.t.sol"" -vv",Compilation: success. ABI: passed. Tests: passed. Static analysis: 1 finding(s) (medium=1). Gas analysis: max observed value 661414.
8,8,4381,GrandGooseMansion,GrandGooseMansion,nft_minting,easy,main,True,False,,,,,,,0,0,0,0,,,compile,Error (8936): Expected string end-quote.,Write a complete Solidity smart contract named GrandGooseMansion using Solidity 0.8.20.,8.json,forge build,,"Compilation: failed. Error: Compiler run failed: Error (8936): Expected string end-quote. --> src/Generated.sol:116:29: | 116 | require(amount > 0, ""Amount must be | ^^^^^^^^^^^^^^^ ABI: not checked. Tests: skipped (no Solidity test command available). Static analysis: skipped..."
9,9,3088,ClosedPresaleMint,NFTMintingContract,minting,easy,main,True,False,,,,,,,0,0,0,0,,,compile,Error (2271): Built-in binary operator + cannot be applied to types uint256 and int_const -1.,Write a complete Solidity smart contract named ClosedPresaleMint using Solidity 0.8.20.,9.json,forge build,,"Compilation: failed. Error: Compiler run failed: Error (2271): Built-in binary operator + cannot be applied to types uint256 and int_const -1. --> src/Generated.sol:46:17: | 46 | require(totalSupply + -1 < maxSupply, ""Exceeds max supply""); | ^^^^^^^^^^^^^^^^ ABI: not checked...."
